,Sentence,Target
2866,The prior opinion is withdrawn and the following is substituted therefor.,Conclusion
1964,Whether this violation was committed before or after probation was granted is not shown.,Others
2531,Appellant filed no objections to the courtâ€™s charge but on appeal urges as fundamental error the courtâ€™s failure to limit the juryâ€™s consideration of such testimony in the charge.,Issue
2629,"Dr. Gibbons testified that on May 9,1959, the day in question, he was Resident Physician in the Emergency Room at Parkland Memorial Hospital; that a book was kept in the Emergency Room showing the names of people who came in and other information regarding blood samples for alcohol test, which was an official record of the hospital.",Facts
1223,Only thing you can testify to is any voluntary statement the defendant made.,Facts
3036,"After carefully considering appellant’s three informal bills, we find no merit in any of them, and appellant’s contentions are denied.",Conclusion
895,"Grace Box testified that on October 14, while she was alone in the liquor store which she and her husband operated, the appellant, whom she identified while testifying, came in about 1:30 P.M.",Facts
1803,This witness also testified that she did not know either the appellant or Billie Yvonne Coleman.,Facts
758,"At 5:30 P.M. they left Hallâ€™s Drive In and drove to Westmoreland Heights Shopping Center where Vaughn got out of the automobile, went into a store, cashed a check, and purchased some cigarettes.",Facts
1562,"The offense is driving a motor vehicle upon a public highway while intoxicated; the punishment, 3 days in jail and a fine of $100.",Rule/Law/Holding
397,"Had the new Rules of Appellate Procedure been in effect during the pendency of this appeal, sanctions against the responsible attorneys would have been appropriate.",Facts
3373,"The record shows that such outcry was made by the prosecutrix to her husband shortly after she was raped and, at the time, she was crying, nervous, and in shock.",Facts
950,"He testified that he counted the posts on the pickup, and there was no difference in the number and size or the marks between them and the missing posts.",Facts
1407,The argument of the prosecutor in this case was merely that the life of the fetus had been destroyed.,Analysis
449,"As a conclusion of law from the foregoing facts, the Court finds that this prejudgment attachment procedure violates the fundamental principles of due process.",Conclusion
2876,"The record contains no formal bills of exception, and the appellant has not favored us with a brief.",Facts
1162,"Nowhere in the courtâ€™s charge do we find any reference to threats, and the charge on the right to defend against apparent as well as real danger did not encompass the threats or the words, acts or conduct of the injured party.",Analysis
3211,It is well settled that a conviction for theft by false pretext can be had upon such an indictment.,Analysis
3029,"508, 243 S.W. 2d 846, a death penalty conviction, we held no reversible error was reflected by argument not objected to where no mandatory provision of the statutes are violated and no new and harmful fact is injected into the case.",Invalid
1386,"The admission in evidence of appellantâ€™s oral statement to the arresting officer while under arrest, which was in the nature of a confession, was error and calls for a reversal of the conviction.",Analysis
1292,"She started to have pains, cramping and became sort of â€œdizzy-likeâ€.",Facts
2663,"He soon thereafter left the hospital, and about midnight had his hand sewed up at St. Paulâ€™s Hospital.",Facts
